Species	Axis1_63.0	Axis2_33.6	Axis3_3.4
G000006865	0.039458197	0.015952302	0.013048002
G000006925	-0.035628209	0.199582502	-0.025685157
G000007145	0.027401808	-0.008958959	-0.017051345
G000007325	0.049881846	-0.014364899	0.030158709
G000007525	-0.05869427	-0.026703179	-0.075081826
G000007785	-0.013480254	-0.018011755	0.059445287
G000008865	-0.034820497	0.199823164	-0.028134662
G000009925	0.027181263	-0.015016871	-0.097353706
G000010425	-0.053640622	-0.021492058	-0.052836157
G000011065	0.036981638	-0.006972602	-0.081948185
G000012005	-0.03416927	0.199190529	-0.021311856
G000012825	0.0487558	-0.010035335	-0.152937039
G000012845	0.09979564	0.007437753	-0.096622624
G000013285	-0.015881335	-0.013736361	0.021458285
G000014205	0.003795933	0.005170119	0.029671194
G000020225	0.001786737	0.016097288	0.026102984
G000020605	-0.002995531	-0.010072268	0.014243479
G000022965	-0.062359175	-0.036079702	-0.000183661
G000024945	-0.015040135	0.009828415	0.04602335
G000025205	-0.057214917	-0.037422932	0.014605115
G000025305	-0.041676066	-0.015701495	-0.000454609
G000025565	0.003605962	0.057958577	0.0176012
G000025925	-0.05346453	-0.014070035	0.025674962
G000026325	-0.033184902	0.194858568	-0.029051958
G000026345	-0.035491039	0.198287483	-0.026050822
G000144405	-0.095554161	-0.012841385	0.005573831
G000144625	0.001484847	-0.005669756	0.005408463
G000146675	0.010166759	-0.014614928	0.008539675
G000153905	0.000505331	-0.00929153	0.012997232
G000153925	0.012106222	-0.013360249	0.035800577
G000154065	0.00766617	-0.007838873	0.038063966
G000154205	0.036903708	0.008830478	-0.140611284
G000154245	0.000589417	-0.001671932	0.014796702
G000154285	0.014930015	0.00439881	0.023902003
G000154305	0.01251403	-0.005730024	0.048937127
G000154345	-0.002289165	-0.017920319	0.054919682
G000154425	0.010613203	-0.004576134	0.039781054
G000154465	0.01468239	-0.005775975	-0.075310986
G000154505	0.003475247	0.011083143	0.036228065
G000154525	0.102146465	-0.01362653	-0.130697458
G000154565	0.032201359	0.023426914	-0.03762351
G000154845	0.090906474	-0.015971539	-0.100367091
G000155205	0.017447112	-0.017438178	0.040409232
G000155435	0.008817398	-0.001312186	0.002036727
G000155875	0.002785255	-0.012157277	0.021089909
G000156035	-0.003310668	-0.015494186	-0.026586717
G000156055	-0.024877929	0.035169092	-0.051466249
G000156175	-0.014551568	-0.024882615	-0.034910732
G000156215	-0.019494847	-0.024212273	-0.047127117
G000156535	-0.021718206	-0.027309024	0.020986729
G000156655	-0.012307108	-0.007001085	0.039259237
G000156675	-0.014952047	-0.011340371	-0.01780653
G000157915	0.028539559	-0.018359729	-0.096997951
G000157935	-0.148635927	-0.004202467	-0.153236811
G000157955	-0.003266608	-0.008761725	0.009451978
G000157975	-0.003043668	-0.008953081	0.036362978
G000157995	0.006815141	-0.002175414	-0.000395489
G000158075	0.005322307	-0.014236691	0.034392157
G000158195	0.128609812	-0.000302422	-0.031211523
G000158215	0.04452735	-0.011503901	0.022476179
G000158275	0.045101927	-0.002958195	0.025896991
G000158295	0.023561191	-0.004115376	0.044563599
G000158315	0.044896113	-0.013541895	-0.008484966
G000158655	0.002316644	-0.01015754	0.024275546
G000159055	-0.013721725	-0.006431481	-0.027432719
G000159075	0.032753389	0.008827296	-0.067299634
G000159155	-0.054573839	-0.028765546	0.030041535
G000159995	0.018846264	-0.008326272	-0.013871241
G000160095	0.018159789	-0.003055955	-0.004381776
G000160535	0.008080769	-0.007331777	0.029476092
G000160655	-0.017131542	7.17E-05	0.022570677
G000162015	-0.017757437	-0.002092899	-0.034358066
G000163515	0.010842455	-0.018606022	0.030267884
G000164865	-0.003518026	0.011242423	0.043240757
G000165735	-0.064281923	-0.00607969	0.031509127
G000165905	-0.068774958	-0.031702836	-0.063140232
G000169035	-0.039183815	-0.021934165	-0.044075014
G000169235	0.005029512	-0.001252897	0.011027941
G000169255	0.003224187	0.007495371	0.009847525
G000173795	0.003617319	-0.004460449	0.02269829
G000174195	0.007082748	-0.002912291	-0.004048088
G000174395	0.002590661	-0.043136342	0.031141048
G000177015	0.003187364	-0.001432397	-0.035963568
G000177075	0.038815282	-0.004757674	-0.026376891
G000177555	-0.054063379	-0.009597833	0.018139636
G000179055	-0.055895665	-0.015944904	0.021364919
G000183345	-0.034830037	0.199673753	-0.026392338
G000185385	0.002822347	-0.010953749	0.035391699
G000185845	-0.006888059	-0.005868303	-0.004215835
G000186425	-0.01169721	-0.000661359	0.037356442
G000187895	0.089209914	-0.000122309	-0.136142456
G000188175	-0.000133013	-0.014441872	-0.017222741
G000188195	0.014829575	-0.013541685	0.038919328
G000189595	0.00398681	-0.003310409	0.006406186
G000190535	0.057504219	0.003768617	-0.023733705
G000190575	0.050680776	-0.007795195	-0.039415066
G000191065	-0.021662782	-0.007791586	-0.001357551
G000195315	-0.016264603	-0.021142443	0.023552894
G000195635	0.024380577	-0.01184462	-0.064561572
G000195995	-0.023133992	0.09648081	0.037036152
G000205165	0.036353254	-0.001785272	-0.084716183
G000209385	0.028934423	-0.02074749	0.043480392
G000210055	-0.03992183	-0.027840811	-0.023146307
G000210555	0.021906362	-0.01297078	0.038082821
G000210575	0.028033316	0.011840422	-0.069070436
G000210615	0.014133993	-0.001241245	0.032790424
G000210635	-0.005722199	-0.011507547	0.041695613
G000215745	0.00655061	0.012480147	0.03348136
G000218235	-0.050513456	0.004498873	0.028022941
G000220255	-0.007858356	-0.013399881	0.021139404
G000221545	-0.065877632	-0.007300708	0.029387741
G000225345	-0.00518474	-0.005701393	0.009239637
G000225705	-0.016780982	-0.021623549	-0.019361554
G000230275	-0.002375385	-0.011695931	0.023920783
G000233455	0.010506369	-0.004029167	-0.01215568
G000233535	-0.016144301	-0.024692289	0.01719515
G000235885	0.011492775	-0.015011226	-0.090134845
G000236865	-0.042096709	-0.028947654	-0.036463832
G000238215	0.028756843	-0.002832726	0.025542228
G000238795	-0.007079902	-0.018139833	0.039068137
G000239355	-0.00121629	0.009346911	0.044142201
G000239695	-0.017339663	-0.022308754	0.009708527
G000239955	0.016409541	0.052983009	-0.00280121
G000240185	-0.013035621	0.070708362	-0.00347451
G000242215	0.03131274	-0.004788988	0.039693949
G000242235	-0.017747403	-0.009691592	0.032684753
G000242335	-0.087849748	-0.008203318	-0.000645707
G000243215	0.045643265	-0.004943025	-0.020048449
G000245775	0.027278575	-0.0181872	-0.065239808
G000247895	-0.003319846	0.029411702	0.038230422
G000250875	-0.018769758	-0.040757716	0.017292625
G000262225	0.020230533	-0.01129511	0.039905696
G000262545	-0.007065089	-0.005461283	-0.036931644
G000265365	0.05217405	-0.001400416	-0.04235705
G000269805	0.000521187	0.005437976	0.036013799
G000277715	0.009005956	0.000784009	0.037730939
G000283495	-0.069505184	-0.005206051	0.005807207
G000285455	-0.007476191	-0.008337931	0.013516729
G000296465	0.054083637	0.00710186	-0.06949251
G000296505	-0.036961688	-0.029434514	0.024848645
G000297775	-0.015097163	-0.044200533	0.021482968
G000299455	-0.036994683	0.196448611	-0.036480965
G000304215	-0.05753107	-0.037956693	0.014478273
G000307375	0.027602428	-0.013541122	-0.102909817
G000311845	-0.017291455	-0.020533052	0.006497381
G000311925	0.038720847	-0.003479618	-0.015788041
G000312145	0.002896295	-0.008124583	-0.025936722
G000315485	0.037012905	-0.004699608	-0.069858044
G000318135	0.004446268	-0.000245006	0.026811197
G000321165	-0.019506429	-0.023887044	-0.015680147
G000321205	0.004837049	-0.00730547	0.031836762
G000327285	0.011591235	-0.005009225	0.017907368
G000337735	-0.016331136	-0.026535239	0.048675977
G000337895	-0.013565109	-0.027827688	0.048644885
G000347695	-0.064764165	-0.036805996	-0.013875022
G000349975	0.031640165	-0.041714741	0.00732423
G000371705	0.007543205	-0.002326862	-0.015984307
G000372405	0.028950088	-0.000807415	-0.025684048
G000373885	0.011463079	0.017409851	-0.00953614
G000374405	0.040264627	0.002631243	-0.018147396
G000374585	0.064541028	-0.001666203	-0.041633671
G000376885	-0.051340377	-0.031811867	0.016983435
G000378745	0.029200286	-0.001428154	-0.008276396
G000379965	-0.06135851	-0.027997749	0.016632588
G000381365	0.124801738	-0.005025162	-0.072093811
G000381725	0.018497273	-0.012356594	0.043542354
G000398925	0.004455226	-0.014681766	-0.060862465
G000403275	0.010459412	-0.01408186	0.055718164
G000403295	0.01344742	-0.017578053	0.02126426
G000403455	0.011517502	-0.008906955	0.037788133
G000411515	-0.02786171	-0.038645116	0.00901886
G000423385	0.012998933	-0.018741523	0.013630866
G000425005	0.005669657	-0.002372193	0.025969712
G000426565	-0.091434459	-0.001115516	0.009510661
G000426585	0.024112868	-0.007191647	-0.008290441
G000427365	0.049161685	0.000770145	-0.022550392
G000428205	-0.005415369	-0.008802865	0.039724541
G000428565	0.030413401	-0.016084232	-0.087164987
