Species	Axis1_63.4	Axis2_34.2	Axis3_2.4
14577.EM.TP1	-0.077935606	-0.036363778	0.217846543
14577.GK.TP1	0.114418451	-0.037541058	0.158213446
14577.AB.TP1	0.139982056	-0.149214104	-0.003508431
14577.JR.TP1	0.02142609	0.157485837	-0.083513421
14577.MA.TP11	0.017729713	0.148174685	0.32653077
14577.MA.TP1	-0.058972836	0.214057979	-0.001915423
14577.RC.TP1	0.113995254	0.072393893	0.031204972
14577.TB.TP1	-0.129053241	0.205139505	-0.142573934
14577.TK.TP1	-0.152974382	0.161852049	0.0196726
14577.GK.TP4	0.068046445	-0.134676812	0.066743685
14577.EM.TP3	-0.151721564	-0.031913616	0.077654262
14577.AB.TP2	0.048725693	-0.172167253	0.253070143
14577.EM.TP2	-0.215900395	-0.16894929	0.133562064
14577.RC.TP2	0.126892762	-0.041642226	-0.06092666
14577.TB.TP2	0.003653393	0.132689776	0.007729479
14577.TB.TP3	0.006492206	-0.134927482	-0.158504791
14577.TK.TP3	0.060300768	-0.015667337	-0.067057018
14577.EM.TP8	-0.138661646	-0.111533463	-0.094490637
14577.GK.TP7	0.092911028	-0.129303312	-0.01888857
14577.EM.TP9	-0.136309735	0.01874529	-0.147969902
14577.MA.TP8	0.062007839	0.151542537	-0.181876106
14577.RC.TP5	-0.027331818	0.013478916	-0.108712681
14577.EM.TP10	-0.172463663	-0.054255334	-0.027915216
14577.EM.TP11	-0.057061389	-0.132860154	-0.094723497
14577.EM.TP7	-0.165902355	-0.103932929	0.011327418
14577.TB.TP9	-0.163771258	0.057380335	0.066529048
14577.EM.TP5	-0.165696981	-0.22203141	0.016413436
14577.GK.TP8	0.128253474	-0.103260225	-0.04146592
14577.AB.TP9	-0.06857299	-0.12025583	-0.124530166
14577.AB.TP8	-0.028785597	-0.030734613	-0.122982467
14577.TK.TP7	-0.141420367	-0.011457511	-0.018331005
14577.TK.TP6	0.025862576	-0.044698764	-0.093872373
14577.MA.TP9	0.050559757	-0.077707923	0.064445162
14577.TB.TP7	-0.167262913	0.07866065	0.067488375
14577.RC.TP3	0.108093271	-0.170569562	-0.018773834
14577.AB.TP10	0.106742138	-0.022078338	-0.026986042
14577.GK.TP11	0.13468427	0.091381171	0.060325242
14577.AB.TP11	0.018939306	0.201274291	0.010808553
14577.JR.TP11	0.13564677	-0.003974724	-0.064602572
14577.JR.TP2	0.008733915	-0.011851677	0.008808331
14577.TK.TP9	-0.122375816	-0.223333517	-0.073479291
14577.TB.TP11	-0.092561517	0.076541587	-0.113079521
14577.TK.TP11	0.110345441	0.181373126	-0.027083805
14577.JR.TP9	0.106013869	-0.12315553	0.058184468
14577.JR.TP7	0.074584764	0.090973495	0.172480375
14577.GK.TP9	0.070824886	-0.042394683	-0.167649459
14577.MA.TP6	0.042935899	-0.040032885	0.38021548
14577.GK.TP10	0.146601123	0.100022579	0.069424134
14577.JR.TP10	0.204496593	-0.020052919	0.070676998
14577.RC.TP8	0.073789315	-0.01366367	-0.164248795
14577.MA.TP10	0.080104695	0.127262337	0.047846645
14577.TB.TP6	-0.192544401	0.076262401	0.024252344
14577.RC.TP10	0.131026237	0.163432196	0.012821143
14577.RC.TP11	0.077674414	0.161484115	0.000507882
14577.GK.TP3	-0.118965017	-0.10077716	0.085797754
14577.RC.TP9	0.044186153	0.14487458	-0.005276647
14577.GK.TP5	0.076424257	-0.109661713	0.02465386
14577.MA.TP4	0.024288548	-0.11092945	-0.095859919
14577.AB.TP5	0.14237697	-0.051870278	-0.076769895
14577.MA.TP5	0.128830995	-0.005548928	-0.04596807
14577.MA.TP3	0.030960474	0.133557765	-0.135220249
14577.RC.TP4	0.084143412	-0.146805988	0.07795886
14577.RC.TP6	-0.035753406	-0.006494258	-0.081114345
14577.AB.TP7	0.034495006	-0.010585534	0.098200799
14577.TB.TP8	-0.210986444	-0.068164193	0.026866782
14577.TB.TP10	-0.109080099	-0.075072565	-0.069237761
14577.TK.TP8	-0.094517845	0.054233967	0.061763699
14577.TK.TP10	-0.028243935	0.053087806	-0.078592773
14577.TK.TP4	-0.152408005	0.160543084	-0.012959615
14577.TK.TP5	-0.180918148	0.036328994	-0.064961074
14577.EM.TP6	-0.102647307	-0.047008923	0.015896913
14577.AB.TP6	-0.089226016	0.046855678	0.346044831
14577.EM.TP4	-0.039385061	0.049335868	0.112040872
14577.JR.TP3	0.010299824	-0.092390967	-0.019269418
14577.AB.TP3	0.134945712	-0.040321425	-0.055604359
14577.GK.TP2	0.087968273	-0.040868231	-0.088762518
14577.JR.TP6	0.171007312	-0.10989305	-0.026323448
14577.MA.TP2	-0.124621006	0.093452199	-0.092606564
14577.AB.TP4	0.091854694	-0.046395673	-0.087719768
14577.GK.TP6	0.106670149	0.173864635	0.05319184
14577.RC.TP7	0.08850232	0.015504161	-0.000491102
14577.TB.TP5	-0.05541575	0.155742777	-0.050800147
