Sample ID	Current_Natural_Log_Ratio	timepoint_number	group	marmoset_id
14577.EM.TP1	null	1	Pre	ellen_mac
14577.GK.TP1	-5.717027701	1	Pre	gadget_kirk
14577.AB.TP1	-5.488937726	1	Pre	asami_beryl
14577.JR.TP1	-2.172618767	1	Pre	johnny_rene
14577.MA.TP1	-5.679319002	1	Pre	martina_abel
14577.RC.TP1	1.856322655	1	Pre	reba_chrome
14577.TB.TP1	-8.027313332	1	Pre	tammy_bane
14577.TK.TP1	null	1	Pre	kenny_toph
14577.AB.TP2	-1.563975538	2	Pre	asami_beryl
14577.EM.TP2	-3.443430145	2	Pre	ellen_mac
14577.RC.TP2	-0.60077386	2	Pre	reba_chrome
14577.TB.TP2	null	2	Pre	tammy_bane
14577.JR.TP2	0.475961939	2	Pre	johnny_rene
14577.GK.TP2	-4.889274437	2	Pre	gadget_kirk
14577.MA.TP2	-6.65415252	2	Pre	martina_abel
14577.EM.TP3	-4.094344562	3	Pre	ellen_mac
14577.TB.TP3	-5.90481674	3	Pre	tammy_bane
14577.TK.TP3	-1.716176788	3	Pre	kenny_toph
14577.RC.TP3	-3.245934973	3	Pre	reba_chrome
14577.GK.TP3	-6.164366882	3	Pre	gadget_kirk
14577.MA.TP3	-4.214100958	3	Pre	martina_abel
14577.JR.TP3	-3.860729711	3	Pre	johnny_rene
14577.AB.TP3	-4.140797731	3	Pre	asami_beryl
14577.GK.TP4	-4.365219516	4	Pre	gadget_kirk
14577.MA.TP4	null	4	Pre	martina_abel
14577.RC.TP4	1.32771506	4	Pre	reba_chrome
14577.TK.TP4	-7.906915489	4	Pre	kenny_toph
14577.EM.TP4	-1.034073768	4	Pre	ellen_mac
14577.AB.TP4	-4.708528699	4	Pre	asami_beryl
14577.RC.TP5	-5.280662431	5	Transition	reba_chrome
14577.EM.TP5	null	5	Transition	ellen_mac
14577.GK.TP5	-5.945420609	5	Transition	gadget_kirk
14577.AB.TP5	-3.05884933	5	Transition	asami_beryl
14577.MA.TP5	null	5	Transition	martina_abel
14577.TK.TP5	null	5	Transition	kenny_toph
14577.TB.TP5	-3.324236341	5	Transition	tammy_bane
14577.TK.TP6	-4.536387376	6	Post	kenny_toph
14577.MA.TP6	null	6	Post	martina_abel
14577.TB.TP6	null	6	Post	tammy_bane
14577.RC.TP6	-7.842671475	6	Post	reba_chrome
14577.EM.TP6	null	6	Post	ellen_mac
14577.AB.TP6	2.288196356	6	Post	asami_beryl
14577.JR.TP6	-5.247024072	6	Post	johnny_rene
14577.GK.TP6	-5.659482216	6	Post	gadget_kirk
14577.GK.TP7	-7.177018766	7	Post	gadget_kirk
14577.EM.TP7	-7.377758908	7	Post	ellen_mac
14577.TK.TP7	-4.000612085	7	Post	kenny_toph
14577.TB.TP7	null	7	Post	tammy_bane
14577.JR.TP7	null	7	Post	johnny_rene
14577.AB.TP7	-1.800850441	7	Post	asami_beryl
14577.RC.TP7	-3.667217957	7	Post	reba_chrome
14577.EM.TP8	-3.218312286	8	Post	ellen_mac
14577.MA.TP8	-5.593471454	8	Post	martina_abel
14577.GK.TP8	-4.225007261	8	Post	gadget_kirk
14577.AB.TP8	-6.694562059	8	Post	asami_beryl
14577.RC.TP8	-3.951243719	8	Post	reba_chrome
14577.TB.TP8	null	8	Post	tammy_bane
14577.TK.TP8	-2.560346357	8	Post	kenny_toph
14577.EM.TP9	null	9	Post	ellen_mac
14577.TB.TP9	null	9	Post	tammy_bane
14577.AB.TP9	-4.50577475	9	Post	asami_beryl
14577.MA.TP9	-5.855071922	9	Post	martina_abel
14577.TK.TP9	-8.115221973	9	Post	kenny_toph
14577.JR.TP9	-5.81263688	9	Post	johnny_rene
14577.GK.TP9	-7.069874128	9	Post	gadget_kirk
14577.RC.TP9	-1.919449461	9	Post	reba_chrome
14577.EM.TP10	-6.788070436	10	LTFU	ellen_mac
14577.AB.TP10	-1.819158443	10	LTFU	asami_beryl
14577.GK.TP10	-3.674115834	10	LTFU	gadget_kirk
14577.JR.TP10	1.049154298	10	LTFU	johnny_rene
14577.MA.TP10	-1.130947669	10	LTFU	martina_abel
14577.RC.TP10	-4.511704458	10	LTFU	reba_chrome
14577.TB.TP10	-6.64898455	10	LTFU	tammy_bane
14577.TK.TP10	3.964532066	10	LTFU	kenny_toph
14577.MA.TP11	4.511699078	11	LTFU	martina_abel
14577.EM.TP11	-7.042286172	11	LTFU	ellen_mac
14577.GK.TP11	-3.329872601	11	LTFU	gadget_kirk
14577.AB.TP11	-1.240501234	11	LTFU	asami_beryl
14577.JR.TP11	-6.225877691	11	LTFU	johnny_rene
14577.TB.TP11	-4.466393673	11	LTFU	tammy_bane
14577.TK.TP11	-2.816941063	11	LTFU	kenny_toph
14577.RC.TP11	-1.902107526	11	LTFU	reba_chrome
