Species	Axis1_66.3	Axis2_31.7	Axis3_2.0
14577.AB.TP1	-0.309470823	-0.292832928	-0.017843336
14577.AB.TP2	0.330281632	-0.618982383	-0.077371839
14577.AB.TP9	0.195900976	0.140846248	-0.157032411
14577.AB.TP8	0.18884965	0.300866905	-0.264913951
14577.AB.TP10	-0.062257547	-0.048375357	-0.389854869
14577.AB.TP11	0.037842151	0.601508327	0.235875832
14577.AB.TP5	-0.367635973	-0.099109354	0.053026038
14577.AB.TP7	0.166159467	0.169248977	-0.306565167
14577.AB.TP6	0.537882091	-0.125231627	0.564514673
14577.AB.TP3	-0.302784948	-0.04604397	-0.144649839
14577.AB.TP4	-0.414766675	0.018105161	0.504814869
