Species	Axis1_61.1	Axis2_37.7	Axis3_1.2
14577.EM.TP1	-0.49456069	-0.254929522	-0.088298111
14577.EM.TP3	-0.182776124	-0.143888169	0.187273076
14577.EM.TP2	0.009275989	-0.714515155	-0.019045846
14577.EM.TP8	0.106224575	0.066755545	0.455444524
14577.EM.TP9	-0.011910916	0.27002414	0.607979638
14577.EM.TP10	0.367906595	-0.060334138	-0.069731815
14577.EM.TP11	0.147365081	0.398518689	-0.206836921
14577.EM.TP7	0.101222511	-0.097848102	-0.015806081
14577.EM.TP5	0.435706501	-0.003520834	-0.450502717
14577.EM.TP6	0.106370019	0.203900686	-0.044251399
14577.EM.TP4	-0.584823542	0.335836861	-0.356224348
