Species	Axis1_53.1	Axis2_46.4	Axis3_0.47
G000006925	0.080751533	-0.017505007	-0.03042369
G000007325	-0.044527791	0.042232599	0.060134955
G000007525	-0.003571973	0.068599742	-0.114178026
G000008865	0.088077993	-0.026149371	-0.031668136
G000009925	-0.021021679	0.005118748	-0.089054191
G000010425	0.020861866	0.059642283	-0.091192159
G000011065	-0.000752214	-0.045835207	-0.058517254
G000012005	0.086156333	-0.028991108	-0.023300849
G000012825	0.005172265	-0.055009634	-0.144044019
G000012845	0.047788819	-0.029214686	-0.067686036
G000020605	0.051551965	0.060398891	0.029465478
G000022965	-0.044709646	0.053217129	-0.008592087
G000025205	-0.057989189	0.048328518	0.017572458
G000025305	-0.083228624	-0.016312356	0.01376524
G000025925	-0.0533433	0.005749691	0.04310367
G000026325	0.083320443	-0.019856427	-0.03298284
G000026345	0.085780181	-0.026044407	-0.028315606
G000144405	-0.055021423	-0.028570585	0.019668535
G000144625	0.020539835	-0.017574056	0.028951765
G000146675	-0.019880778	-0.012026226	0.045028915
G000153905	0.036331368	0.017441147	0.034904654
G000154065	0.055568548	0.007789624	0.060590486
G000154205	0.070585185	-0.089653249	-0.15458995
G000154245	0.006718415	-0.004894325	0.048554709
G000154465	0.003591426	-0.042502244	-0.054292655
G000154525	0.041180366	-0.068917161	-0.110765294
G000154565	0.077016622	-0.016750918	-0.003164101
G000154845	0.049420958	-0.000220163	-0.082567966
G000155435	0.005184774	0.013463421	0.032947374
G000155875	0.026483925	0.026951135	0.039635686
G000156035	0.004873093	0.004577278	-0.028271722
G000156175	0.015327285	0.084203089	-0.044889219
G000156215	0.012522873	0.077642898	-0.061732164
G000156535	-0.026308863	-0.01927012	0.01710962
G000156675	-0.005482058	-0.072428477	0.018033442
G000157915	-0.026087791	-0.014360331	-0.081217947
G000157935	-0.091112308	-0.099907	-0.179775094
G000157955	0.012748561	0.007700582	0.032774398
G000157995	0.015423095	0.012726199	0.029481727
G000158195	-0.051041155	0.013796611	0.024091738
G000158215	-0.054007546	0.037738385	0.053485007
G000158275	0.056108356	0.051537729	0.023980374
G000158315	-0.081799013	0.007983053	0.021167217
G000158655	0.013954314	-0.00179357	0.040607889
G000159055	0.008924757	-0.010448932	-0.002795513
G000159075	0.063439217	-0.084209192	-0.039575508
G000159155	-0.056493975	0.049157109	0.034827028
G000159995	-0.009379883	-0.010726753	0.015270614
G000160095	0.007061533	0.017471965	0.029749789
G000162015	0.035615092	0.013170557	-0.0225594
G000165735	-0.079529358	-0.00913827	0.037713396
G000165905	-0.039982553	0.054516637	-0.093980024
G000169035	0.016904504	0.088731106	-0.073212263
G000169235	0.046022342	0.022894513	0.033476372
G000169255	0.023075565	0.008856959	0.05005713
G000174195	0.023883391	-0.014972276	0.01881083
G000174395	0.048962438	0.012614435	0.023981586
G000177015	0.017690091	-0.015835754	-0.02588507
G000177075	0.005128714	-0.035577544	0.007514543
G000177555	-0.062227054	-0.00714749	0.02505794
G000179055	-0.06176817	-0.002113281	0.04567548
G000183345	0.079557463	-0.021536832	-0.029032296
G000185845	-0.043792392	-0.051870049	0.03718563
G000187895	0.050397907	0.022913978	-0.119041795
G000188175	-0.015163541	0.002770494	0.000807526
G000189595	0.019171099	0.028363908	0.028361968
G000190535	0.040821462	-0.053851731	0.016041987
G000190575	0.045709527	0.002642607	-0.015991271
G000191065	-0.054835251	-0.042651901	0.035973999
G000193395	-0.067883159	0.029827924	0.051197461
G000195315	0.014995019	0.073746403	0.02999754
G000195635	-0.003404855	-0.03680987	-0.05302302
G000205165	0.048325095	-0.012075245	-0.07247297
G000210055	0.007018552	0.074532019	-0.040248679
G000210575	0.059583826	-0.084995166	-0.047206621
G000215745	0.036948272	-0.032110749	0.046742887
G000218235	-0.04799036	-0.007400566	0.045527386
G000221545	-0.074082563	-0.011959194	0.031714476
G000225345	0.006354289	0.012302153	0.031108102
G000225705	0.009145269	0.073039466	-0.024898794
G000233455	0.012846573	0.016950191	0.013257004
G000233535	0.008925381	0.063333055	0.023511337
G000235885	-0.03548417	-0.022610379	-0.076971588
G000236865	0.008395034	0.070919452	-0.060507303
G000239275	-0.08071857	-0.008157601	0.056777783
G000239695	-0.002423576	0.075835107	0.021539694
G000240185	0.096089783	0.04090877	-0.018805828
G000242335	-0.05320994	-0.048303734	0.013010117
G000243215	0.063066715	-0.015039857	0.005018053
G000245775	-0.081185538	-0.026919624	-0.032234752
