"Feature ID"	Log_Ratio_Classification
G000434135	Denominator
G000157935	Denominator
G001917135	Denominator
G900445225	Denominator
G004556245	Denominator
G000980655	Denominator
G001917125	Denominator
G900128485	Denominator
G000436195	Denominator
G000434855	Denominator
G004557545	Denominator
G000436035	Denominator
G000434515	Denominator
G000437535	Denominator
G004561445	Denominator
G004561455	Denominator
G004553635	Denominator
G000767175	Denominator
G001915615	Denominator
G000378405	Denominator
G001305115	Numerator
G001454945	Numerator
G003014445	Numerator
G000158195	Numerator
G000154565	Numerator
G000012845	Numerator
G900104615	Numerator
G000154525	Numerator
G900548305	Numerator
G001915495	Numerator
G001314975	Numerator
G000436855	Numerator
G000381365	Numerator
G001688625	Numerator
G000437995	Numerator
G000438395	Numerator
G000433375	Numerator
G000944155	Numerator
G001305135	Numerator
G000006865	Numerator
