Species	Axis1_63.7	Axis2_34.7	Axis3_1.6
G000006865	0.115360475	0.000972753	0.023726209
G000006925	-0.074224981	-0.115866797	-0.029199351
G000007145	0.090759821	0.054561402	0.008270763
G000007325	0.070989342	-0.05195958	0.005382719
G000007525	-0.097065108	0.037566438	-0.048722272
G000007785	0.009210747	0.084697471	0.05091418
G000008865	-0.075482457	-0.113938603	-0.030109809
G000009925	0.026180192	0.001645225	-0.096195209
G000010425	-0.069850276	0.028628528	-0.030279223
G000011065	0.040544225	0.011422084	-0.085427505
G000012005	-0.071906585	-0.121347638	-0.026809077
G000012825	0.052674929	-0.004891242	-0.153384075
G000012845	0.056076819	0.019945563	-0.110342341
G000013285	-0.011997875	-0.143442576	0.004457609
G000014205	0.026942812	-0.050135709	0.036151936
G000020225	0.057966245	-0.035038408	0.020366058
G000020605	-0.024946712	0.016209453	0.010603283
G000022965	-0.019350335	0.016095544	0.017283726
G000024945	-0.014530467	-0.009235494	0.055132217
G000025205	-0.00787316	0.00595711	0.032228012
G000025305	0.02618064	-0.022068648	0.036406231
G000025565	-0.021895454	-0.104031697	-0.011327583
G000025925	0.020995596	-0.004103192	0.073023748
G000026325	-0.056955092	-0.11175106	-0.038235803
G000026345	-0.072304564	-0.115199166	-0.031066313
G000144405	-0.047728607	0.032778976	0.04300918
G000144625	-0.005042342	0.030045891	-0.003317277
G000146675	0.012599401	0.012158009	0.014150298
G000153905	-0.017903457	0.024446348	0.009530339
G000153925	0.010171911	0.010609124	0.019225903
G000154065	-0.006065874	0.01974313	0.02889609
G000154205	-0.038839615	0.011483415	-0.154764762
G000154245	-0.020912225	0.024830446	0.00887751
G000154285	-0.009974056	0.013167962	0.00965943
G000154305	-0.036496857	0.032851595	0.045369753
G000154345	0.013554374	0.04098077	0.058175259
G000154425	-0.024329413	0.021984174	0.021289225
G000154465	0.017476887	0.008371565	-0.0633736
G000154505	-0.001752992	0.009345391	0.028209682
G000154525	0.066530306	0.009820607	-0.151142994
G000154565	-0.027518632	0.042225709	-0.061366455
G000154845	0.093574747	-0.017922527	-0.120527957
G000155205	0.036377797	-0.006970766	0.016687708
G000155435	-0.014409206	0.0216067	-0.004451173
G000155875	0.009825243	0.004217038	0.016538884
G000156035	0.009159408	0.005252842	-0.036651844
G000156055	0.032070025	0.010830966	0.00186695
G000156175	-0.032011572	0.036338266	-0.028670502
G000156215	-0.040162608	0.037999906	-0.040104722
G000156535	-0.056436527	0.037412878	0.004955617
G000156655	-0.041539396	0.061051407	0.054336615
G000156675	-0.048955188	0.025665403	-0.028942924
G000157915	0.031218418	-0.000358945	-0.09187638
G000157935	0.003998209	-0.042602039	-0.047997324
G000157955	-0.020261441	0.026672723	0.002450297
G000157975	-0.026299693	0.028132378	0.022665485
G000157995	-0.016982468	0.022457137	-0.010077246
G000158075	-0.017467177	0.003061825	0.041148913
G000158195	0.179698222	-0.09288549	-0.076682285
G000158215	0.068413832	-0.049127233	-0.000176398
G000158275	0.07951875	-0.052152232	0.003666141
G000158295	0.022876002	0.006982125	0.012208562
G000158315	0.093510154	-0.081653444	-0.017795085
G000158655	-0.005880143	0.042661105	-0.005324539
G000159055	-0.04559602	0.035709772	-0.035892924
G000159075	-0.015877909	0.021770723	-0.08293993
G000159155	-0.007318035	-0.000287597	0.04367341
G000159995	0.019628057	0.008909439	-0.011323063
G000160095	-0.001122565	0.011366461	-0.016160472
G000160535	0.05821882	-0.020786697	0.031666023
G000160655	-0.019068778	0.110256515	0.035482699
G000162015	-0.053401774	0.036568733	-0.034590567
G000163515	-0.005981961	0.034370904	0.014424439
G000164865	-0.012383463	-0.108504496	0.032163113
G000165735	-0.026074746	0.000355444	0.067544636
G000165905	-0.065517475	0.028365724	-0.033207681
G000169035	-0.062470509	0.030408717	-0.03052297
G000169235	-0.019004864	0.019659959	0.003378246
G000169255	-0.017422118	0.042135889	-0.00127957
G000173795	-0.009672325	-0.006712971	0.006576291
G000174195	-0.001719592	0.025773171	-0.011430339
G000174395	-0.024493975	0.009831374	0.017507858
G000177015	-0.019009263	0.028927776	-0.041271081
G000177075	0.035041923	0.007569969	-0.028940201
G000177555	-0.008391398	0.007047766	0.043431735
G000179055	0.010397675	-0.000185431	0.06759523
G000183345	-0.069409323	-0.111813736	-0.030185026
G000185385	0.003909736	0.027062516	0.01985125
G000185845	0.021190658	0.002890959	0.009672404
G000186425	-0.015721146	-0.021247509	0.048958249
G000187895	0.002124516	-0.006556652	-0.151495845
G000188175	0.022755828	-0.002605327	-0.010363134
G000188195	0.071656179	-0.042793587	0.050046669
G000189595	-0.036509361	0.036754227	-0.002062609
G000190535	0.043003196	0.010212091	-0.03649524
G000190575	0.022161228	-0.00370606	-0.049293933
G000191065	0.023589679	-0.000785574	0.023498465
G000195315	-0.040615368	0.032473065	0.021929288
G000195635	0.01204651	0.007004877	-0.06763487
G000195995	-0.055951252	-0.109121169	0.014471941
G000205165	0.019107315	-0.015505307	-0.088258308
G000209385	0.035218409	-0.006838374	0.017198123
G000210055	-0.067117803	0.026594396	-0.006921307
G000210555	0.012917817	-0.006187829	0.016666654
G000210575	-0.021176833	0.024272513	-0.067167952
G000210615	-0.015473255	0.018372165	0.0184701
G000210635	-0.011989862	0.019971448	0.033926433
G000215745	-0.00313058	-0.120495266	0.01925088
G000218235	0.020635877	-0.084508654	0.059753089
G000220255	0.020222871	0.001723101	0.040599303
G000221545	0.013121707	-0.030011285	0.073253444
G000225345	-0.01984482	0.02682331	0.003077275
G000225705	-0.043185504	0.042479071	-0.01507696
G000230275	-0.012433434	0.019876174	0.01835064
G000233455	-0.007473692	0.017713541	-0.022568773
G000233535	-0.009494383	0.019421218	0.013791341
G000235885	0.027566373	0.002553602	-0.081625742
G000236865	-0.052507035	0.023316301	-0.019095437
G000238215	0.025495491	0.00154036	0.021844975
G000238795	0.03697944	-0.031057241	0.039006501
G000239355	0.015976746	-0.005205165	0.023724141
G000239695	-0.022650323	0.043974131	0.023393045
G000239955	0.063278293	-0.056274748	0.024081866
G000240185	-0.073378583	-0.057633677	-0.018800635
G000242215	0.028822473	0.000689484	0.006530297
G000242235	-0.018734267	0.033983156	0.03665715
G000242335	-0.009041004	-0.009935254	0.06319491
G000243215	0.053113975	-0.002006819	-0.022727939
