Species	Axis1_56.0	Axis2_42.9	Axis3_1.1
14577.TB.TP1	-0.225659766	0.372765785	-0.633144096
14577.TB.TP2	-0.53119962	0.123021286	0.554313756
14577.TB.TP3	-0.226276901	-0.697527253	0.080970282
14577.TB.TP9	0.363108869	0.056136901	0.167933951
14577.TB.TP7	0.245785463	0.247735482	0.26903213
14577.TB.TP11	-0.219653025	-0.032772785	-0.343663734
14577.TB.TP6	0.218845938	0.232163254	0.103765728
14577.TB.TP8	0.502673793	-0.086392974	-0.028650016
14577.TB.TP10	0.118504487	-0.431034301	-0.22756498
14577.TB.TP5	-0.246129239	0.215904604	0.057006978
